AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d101@5	Use co-immunoprecipitation and protein-protein association assay we show that both PROTEINT0 and PROTEINT1 bind specifically and stably to PROTEINT2 Mutational analysis demonstrate that both the basic region and leucine zipper domain of PROTEINT0 and PROTEINT0 be necessary and sufficient for stable association with PROTEINT0
AIMed_d101@5	Use co-immunoprecipitation and protein-protein association assay we show that both PROTEINT0 and PROTEINT0 bind specifically and stably to PROTEINT0 Mutational analysis demonstrate that both the basic region and leucine zipper domain of PROTEINT1 and PROTEINT0 be necessary and sufficient for stable association with PROTEINT2
AIMed_d101@5	Use co-immunoprecipitation and protein-protein association assay we show that both PROTEINT0 and PROTEINT0 bind specifically and stably to PROTEINT0 Mutational analysis demonstrate that both the basic region and leucine zipper domain of PROTEINT0 and PROTEINT1 be necessary and sufficient for stable association with PROTEINT2
AIMed_d101@6	A 51-residue region from the conserve C-terminal region of PROTEINT1 previously show to be the bind site for the viral activator protein PROTEINT2 interact with PROTEINT0 and PROTEINT0 protein
AIMed_d101@6	A 51-residue region from the conserve C-terminal region of PROTEINT1 previously show to be the bind site for the viral activator protein PROTEINT0 interact with PROTEINT2 and PROTEINT0 protein
AIMed_d101@6	A 51-residue region from the conserve C-terminal region of PROTEINT1 previously show to be the bind site for the viral activator protein PROTEINT0 interact with PROTEINT0 and PROTEINT2 protein
AIMed_d101@7	We propose that PROTEINT1 and PROTEINT0 protein function as transcriptional activator in part by recruit PROTEINT2 to form complex to initiate RNA synthesis
AIMed_d101@7	We propose that PROTEINT0 and PROTEINT1 protein function as transcriptional activator in part by recruit PROTEINT2 to form complex to initiate RNA synthesis
AIMed_d216@1	The PROTEINT1 PROTEINT2 complex structural basis for GTPase activation and its loss in oncogenic PROTEINT0 mutant
AIMed_d216@2	The three-dimensional structure of the complex between human PROTEINT1 bind to guanosine diphosphate and the guanosine triphosphatase GTPase activate domain of the human PROTEINT0 PROTEINT2 PROTEINT0 in the presence of aluminum fluoride be solve at a resolution of 2.5 angstrom
AIMed_d216@2	The three-dimensional structure of the complex between human PROTEINT1 bind to guanosine diphosphate and the guanosine triphosphatase GTPase activate domain of the human PROTEINT0 PROTEINT0 PROTEINT2 in the presence of aluminum fluoride be solve at a resolution of 2.5 angstrom
AIMed_d216@5	The switch II region of PROTEINT1 be stabilize by PROTEINT2 thus allow glutamine-61 of PROTEINT0 mutation of which activate the oncogenic potential to participate in catalysis
AIMed_d72@7	Two line of evidence support the notion that PROTEINT1 and PROTEINT0 have homologous PROTEINT2 bind property first several mutate PROTEINT0 protein that fail to bind to T also do not associate with PROTEINT0 and second both T antigen and T peptide amino acid 101-118 be able to compete with PROTEINT0 for binding to PROTEINT0
AIMed_d72@7	Two line of evidence support the notion that PROTEINT0 and PROTEINT1 have homologous PROTEINT2 bind property first several mutate PROTEINT0 protein that fail to bind to T also do not associate with PROTEINT0 and second both T antigen and T peptide amino acid 101-118 be able to compete with PROTEINT0 for binding to PROTEINT0
AIMed_d72@8	The apparent targeting of the PROTEINT1 PROTEINT2 interaction by oncoprotein of DNA tumour virus strongly suggest that formation of this complex be functionally important
AIMed_d47@1	Crystal structure of the PROTEINT1 PROTEINT2 ectodomain complex
AIMed_d47@5	Here we report the crystal structure of human dimeric PROTEINT1 in complex with two high affinity PROTEINT0 PROTEINT2 s PROTEINT0
AIMed_d47@5	Here we report the crystal structure of human dimeric PROTEINT1 in complex with two high affinity PROTEINT0 PROTEINT0 s PROTEINT2
AIMed_d223@1	Interaction between cell cycle regulator PROTEINT1 and PROTEINT2 mediate repression of HIV-1 gene transcription
AIMed_d223@3	Some of these extracellular stimulus arrest cell in the G1 phase of the mitotic division cycle and modulate the activity of the tumor suppressor protein PROTEINT1 and its partner PROTEINT2
AIMed_d223@5	Here we demonstrate that PROTEINT1 may regulate the activity of the HIV-1 long terminal repeat through its ability to bind sequence in the PROTEINT0 enhancer region and to interact with the PROTEINT2 subunit PROTEINT0
AIMed_d223@5	Here we demonstrate that PROTEINT1 may regulate the activity of the HIV-1 long terminal repeat through its ability to bind sequence in the PROTEINT0 enhancer region and to interact with the PROTEINT0 subunit PROTEINT2
AIMed_d223@8	Affinity chromatography and co-immunoprecipitation assay provide evidence for direct interaction of PROTEINT1 and PROTEINT2 in the absence of their DNA target sequence
AIMed_d223@11	The result of this study suggest that PROTEINT1 activity may be regulate by its interaction with the cell cycle regulatory protein PROTEINT2
AIMed_d134@1	PROTEINT1 be a ligand for the PROTEINT2 PROTEINT0 receptor protein-tyrosine kinase
AIMed_d134@5	We report here that recombinant PROTEINT1 induce autophosphorylation of PROTEINT2 in intact cell consistent with PROTEINT0 be an authentic ligand for PROTEINT0
AIMed_d134@5	We report here that recombinant PROTEINT0 induce autophosphorylation of PROTEINT0 in intact cell consistent with PROTEINT1 be an authentic ligand for PROTEINT2
AIMed_d96@3	It bind homophilically i.e PROTEINT1 on the surface of one cell bind to PROTEINT2 on an appose cell and the bind site lie within the immunoglobulin domain
AIMed_d96@6	In this article we demonstrate that PROTEINT1 associate with a complex contain PROTEINT0 and PROTEINT2 in mink lung MvLu cell and in rat heart lung and brain tissue
AIMed_d96@8	In vitro binding study demonstrate that the intracellular segment of PROTEINT1 bind directly to the intracellular domain of PROTEINT2 but not to alpha or PROTEINT0
AIMed_d199@7	Activate PROTEINT1 predominantly interact with PROTEINT2
AIMed_d199@19	PROTEINT0 and PROTEINT1 PROTEINT2
AIMed_d148@1	Two potentially oncogenic cyclin PROTEINT1 and PROTEINT0 share common property of subunit configuration tyrosine phosphorylation and physical association with the PROTEINT2 protein
AIMed_d148@1	Two potentially oncogenic cyclin PROTEINT0 and PROTEINT1 share common property of subunit configuration tyrosine phosphorylation and physical association with the PROTEINT2 protein
AIMed_d148@7	Moreover PROTEINT1 be find to be phosphorylate on tyrosine residue in vivo and like PROTEINT0 be readily phosphorylate by PROTEINT2 in vitro
AIMed_d148@7	Moreover PROTEINT0 be find to be phosphorylate on tyrosine residue in vivo and like PROTEINT1 be readily phosphorylate by PROTEINT2 in vitro
AIMed_d148@8	In synchronize human osteosarcoma cell PROTEINT1 be induce in early G1 and become associate with PROTEINT2 a Cdk-binding subunit
AIMed_d148@9	Immunoprecipitation experiment with human osteosarcoma cell and Ewing's sarcoma cell demonstrate that PROTEINT1 be associate with both PROTEINT2 and PROTEINT0 and that PROTEINT0 immune complex exhibit appreciable histone H1 kinase activity
AIMed_d148@9	Immunoprecipitation experiment with human osteosarcoma cell and Ewing's sarcoma cell demonstrate that PROTEINT1 be associate with both PROTEINT0 and PROTEINT2 and that PROTEINT0 immune complex exhibit appreciable histone H1 kinase activity
AIMed_d40@4	We have crystallize a complex between human PROTEINT1 and a two-domain extracellular fragment of human PROTEINT2
AIMed_d224@6	Further study on the interaction of PROTEINT0 with molecule in the endoplasmic reticulum reveal that PROTEINT1 associate with the PROTEINT2 PROTEINT0 and PROTEINT0 and that PROTEINT0 expression be PROTEINT0 dependent and tapasin-dependent
AIMed_d224@6	Further study on the interaction of PROTEINT0 with molecule in the endoplasmic reticulum reveal that PROTEINT1 associate with the PROTEINT0 PROTEINT2 and PROTEINT0 and that PROTEINT0 expression be PROTEINT0 dependent and tapasin-dependent
AIMed_d224@6	Further study on the interaction of PROTEINT0 with molecule in the endoplasmic reticulum reveal that PROTEINT1 associate with the PROTEINT0 PROTEINT0 and PROTEINT2 and that PROTEINT0 expression be PROTEINT0 dependent and tapasin-dependent
AIMed_d224@7	In addition PROTEINT1 dissociate from PROTEINT2 upon binding of MHC class I leader sequence peptide
AIMed_d133@1	PROTEINT1 a protein kinase stimulate by UV light and PROTEINT0 that bind and phosphorylate the PROTEINT2 activation domain
AIMed_d133@5	Significantly PROTEINT1 partially activate PROTEINT2 and potentiate the activation cause by UV
AIMed_d133@6	PROTEINT1 bind to the PROTEINT2 transactivation domain and phosphorylate it on Ser-63 and Ser-73
AIMed_d91@6	In vitro protein-protein interaction assay reveal that as observe with Drosophila PROTEINT0 PROTEINT1 interact with the C-terminal 39-amino acid activation domain of the acidic transactivator PROTEINT2 PROTEINT0 as well as with the general transcription factor PROTEINT0
AIMed_d91@6	In vitro protein-protein interaction assay reveal that as observe with Drosophila PROTEINT0 PROTEINT1 interact with the C-terminal 39-amino acid activation domain of the acidic transactivator PROTEINT0 PROTEINT2 as well as with the general transcription factor PROTEINT0
AIMed_d91@6	In vitro protein-protein interaction assay reveal that as observe with Drosophila PROTEINT0 PROTEINT1 interact with the C-terminal 39-amino acid activation domain of the acidic transactivator PROTEINT0 PROTEINT0 as well as with the general transcription factor PROTEINT2
AIMed_d32@1	Shared and unique determinant of the PROTEINT0 PROTEINT1 PROTEINT0 be important for bind PROTEINT2 and PROTEINT0 PROTEINT0 mimetic peptide
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT2 be crucial for bind PROTEINT0 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT0 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 be crucial for bind PROTEINT0 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT0 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 be crucial for bind PROTEINT2 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT0 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 be crucial for bind PROTEINT2 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT0 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 be crucial for bind PROTEINT0 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT1 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT2 PROTEINT0 PROTEINT0 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 be crucial for bind PROTEINT0 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT1 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT2 or PROTEINT0 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@2	We have show previously that Phe93 in the extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 be crucial for bind PROTEINT0 Substitution of Phe93 with alanine result in a dramatic decrease in PROTEINT1 binding to the Escherichia coli-expressed extracellular domain of the PROTEINT0 PROTEINT0 PROTEINT0 or PROTEINT2 and no detectable binding to full-length mutant receptor express in COS cell
AIMed_d32@3	Remarkably Phe93 form extensive contact with a peptide ligand in the crystal structure of the PROTEINT1 bind to an PROTEINT0 PROTEINT0 PROTEINT2 suggest that Phe93 be also important for PROTEINT0 binding
AIMed_d32@3	Remarkably Phe93 form extensive contact with a peptide ligand in the crystal structure of the PROTEINT1 bind to an PROTEINT0 PROTEINT0 PROTEINT0 suggest that Phe93 be also important for PROTEINT2 binding
AIMed_d32@4	We use alanine substitution of PROTEINT1 residue that contact PROTEINT2 in the crystal structure to investigate the function of these residue in both PROTEINT0 and PROTEINT0 binding
AIMed_d32@4	We use alanine substitution of PROTEINT1 residue that contact PROTEINT0 in the crystal structure to investigate the function of these residue in both PROTEINT2 and PROTEINT0 binding
AIMed_d32@4	We use alanine substitution of PROTEINT1 residue that contact PROTEINT0 in the crystal structure to investigate the function of these residue in both PROTEINT0 and PROTEINT2 binding
AIMed_d32@7	Thus Phe93 and Phe205 be important binding determinant for both PROTEINT1 and PROTEINT0 even though these ligand share no sequence or structural homology suggest that these residue may represent a minimum epitope on the PROTEINT2 for productive ligand binding
AIMed_d32@7	Thus Phe93 and Phe205 be important binding determinant for both PROTEINT0 and PROTEINT1 even though these ligand share no sequence or structural homology suggest that these residue may represent a minimum epitope on the PROTEINT2 for productive ligand binding
AIMed_d190@1	Discrete protein interaction with the PROTEINT1 PROTEINT2 complex in PROTEINT0 and PROTEINT0 mediate myeloid cell proliferation
AIMed_d190@3	In the present study we evaluate tyrosine phosphorylation of PROTEINT0 and the interaction of the PROTEINT1 PROTEINT2 complex with signaling protein upon activation of non-tyrosine PROTEINT0 and tyrosine kinase PROTEINT0 receptor lead to myeloid cell proliferation
